28	0	1000	0.5	0.1	0	1	-0.9315	0.9315	39731	0.015015015015015	0	6870	6
29	0	1000	0.5	0.1	0	1	-0.947	0.947	39940.25	0.00350175087543772	0	8052	8
30	0	1000	0.5	0.1	0	1	-0.623	0.623	38380.25	0.0280421919217906	0	3512	3
31	0	1000	0.5	0.1	0	1	-0.895	0.895	39364.875	0.0274282838449925	0	7877	9
32	0	1000	0.5	0.1	0	1	-0.9595	0.9595	39982	0.0015	0	7713	6
33	0	1000	0.5	0.1	0	1	-0.9925	0.9925	40000	0	0	7223	5
34	0	1000	0.5	0.1	0	1	-0.9935	0.9935	40000	0	0	7341	5
35	0	1000	0.5	0.1	0	1	-0.9935	0.9935	40000	0	0	7318	5
36	0	1000	0.5	0.1	0	1	-0.93	0.93	39988	0.001	0	7358	7
37	0	1000	0.5	0.1	0	1	-0.95	0.95	39988	0.0015	0	6601	5
38	0	1000	0.5	0.1	0	1	-0.9025	0.9025	39601.5	0.0118149824032177	0	6186	5
39	0	1000	0.5	0.1	0	1	-0.98	0.98	38882.75	0.0302260604521209	0	5371	4
40	0	1000	0.5	0.1	0	1	-0.9835	0.9835	40000	0	0	7117	5
41	0	1000	0.5	0.1	0	1	-0.8265	0.8265	39106.5	0.0267947421638018	0	6276	6
42	0	1000	0.5	0.1	0	1	-0.982	0.982	40000	0	0	7074	5
43	0	1000	0.5	0.1	0	1	-0.995	0.995	40000	0	0	7374	5
44	0	1000	0.5	0.1	0	1	-0.9665	0.9665	40000	0	0	6891	5
45	0	1000	0.5	0.1	0	1	-0.8985	0.8985	39678.75	0.0110386352232815	0	6115	5
46	0	1000	0.5	0.1	0	1	-0.9765	0.9765	40000	0	0	7341	5
47	0	1000	0.5	0.1	0	1	-0.6225	0.6225	38019	0.0315816722754336	0	3509	3
48	0	1000	0.5	0.1	0	1	-0.9895	0.9895	39012.625	0.0208227526663281	0	5473	4
49	0	1000	0.5	0.1	0	1	-0.9235	0.9235	39571.25	0.0134557344064386	0	8453	10
50	0	1000	0.5	0.1	0	1	-0.9175	0.9175	39970	0.003	0.222222222222222	7410	9
51	0	1000	0.5	0.1	0	1	-0.9775	0.9775	38874.75	0.0290771175726928	0	5370	4
52	0	1000	0.5	0.1	0	1	-0.889	0.889	39294.875	0.0218702865761689	0	6468	6
53	0	1000	0.5	0.1	0	1	-0.9495	0.9495	40000	0	0.181818181818182	8524	11
54	0	1000	0.5	0.1	0	1	-0.9255	0.9255	39994	0.001	0.125	7382	8
55	0	1000	0.5	0.1	0	1	-0.9165	0.9165	39970	0.002	0	6654	5
56	0	1000	0.5	0.1	0	1	-0.929	0.929	39892	0.006	0	6529	5
57	0	1000	0.5	0.1	0	1	-0.9925	0.9925	39024.25	0.020035505959929	0	5440	4
58	0	1000	0.5	0.1	0	1	-0.989	0.989	40000	0	0	7270	5
59	0	1000	0.5	0.1	0	1	-0.875	0.875	39070.625	0.0326582278481013	0	5964	5
60	0	1000	0.5	0.1	0	1	-0.988	0.988	39049.25	0.0279596977329975	0	5444	4
61	0	1000	0.5	0.1	0	1	-0.9385	0.9385	39940.25	0.00625	0	6650	5
62	0	1000	0.5	0.1	0	1	-0.9895	0.9895	40000	0	0	7219	5
63	0	1000	0.5	0.1	0	1	-0.99	0.99	39011.5	0.0240384615384615	0	5415	4
64	0	1000	0.5	0.1	0	1	-0.9105	0.9105	39970	0.0025	0	7354	7
65	0	1000	0.5	0.1	0	1	-0.9205	0.9205	39808.5	0.00751126690035053	0	6463	5
66	0	1000	0.5	0.1	0	1	-0.9365	0.9365	40000	0	0	7291	7
67	0	1000	0.5	0.1	0	1	-0.917	0.917	39755.25	0.0125	0	7728	6
68	0	1000	0.5	0.1	0	1	-0.8705	0.8705	38935.375	0.0229695431472081	0.111111111111111	7369	9
69	0	1000	0.5	0.1	0	1	-0.621	0.621	39239.5	0.0176946410515672	0	3491	3
70	0	1000	0.5	0.1	0	1	-0.939	0.939	39946.25	0.0045	0	6537	5
71	0	1000	0.5	0.1	0	1	-0.9455	0.9455	39755.25	0.00852130325814536	0	7177	6
72	0	1000	0.5	0.1	0	1	-0.992	0.992	39013.5	0.0265419615773509	0	5431	4
73	0	1000	0.5	0.1	0	1	-0.971	0.971	38847.625	0.0239307535641548	0	5365	4
74	0	1000	0.5	0.1	0	1	-0.9895	0.9895	39034	0.0336368234699039	0	5454	4
75	0	1000	0.5	0.1	0	1	-0.8805	0.8805	39195	0.0264883955600404	0	6054	5
76	0	1000	0.5	0.1	0	1	-0.819	0.819	39213.125	0.0259838546922301	0.2	7622	10
77	0	1000	0.5	0.1	0	1	-0.9735	0.9735	39982	0.002	0	7441	6
78	0	1000	0.5	0.1	0	1	-0.6045	0.6045	39173.5	0.0272865083375442	0	3429	3
79	0	1000	0.5	0.1	0	1	-0.8485	0.8485	39523.25	0.0145801910507793	0.133333333333333	9912	15
80	0	1000	0.5	0.1	0	1	-0.9725	0.9725	40000	0	0	7020	5
81	0	1000	0.5	0.1	0	1	-0.9265	0.9265	39952	0.0035	0	6544	5
82	0	1000	0.5	0.1	0	1	-0.9875	0.9875	40000	0	0	7135	5
83	0	1000	0.5	0.1	0	1	-0.9675	0.9675	38863.25	0.0265035677879715	0	5401	4
84	0	1000	0.5	0.1	0	1	-0.988	0.988	39964	0.0025	0.111111111111111	8464	9
85	0	1000	0.5	0.1	0	1	-0.899	0.899	39600.75	0.0165579528349222	0	6150	5
86	0	1000	0.5	0.1	0	1	-0.993	0.993	40000	0	0	7322	5
87	0	1000	0.5	0.1	0	1	-0.9615	0.9615	40000	0	0	7360	6
88	0	1000	0.5	0.1	0	1	-0.985	0.985	38989.75	0.0256345177664975	0	5417	4
89	0	1000	0.5	0.1	0	1	-0.8765	0.8765	38822.125	0.0206685378923195	0	6334	6
90	0	1000	0.5	0.1	0	1	-0.8995	0.8995	39136	0.0268979386626445	0	5857	5
91	0	1000	0.5	0.1	0	1	-0.8925	0.8925	39479.75	0.0160642570281124	0	6160	5
92	0	1000	0.5	0.1	0	1	-0.895	0.895	39511.25	0.0178391959798995	0	6149	5
93	0	1000	0.5	0.1	0	1	-0.9095	0.9095	39116.375	0.0363452801615346	0	5894	5
94	0	1000	0.5	0.1	0	1	-0.938	0.938	40000	0	0.125	7044	8
95	0	1000	0.5	0.1	0	1	-0.9075	0.9075	39749.25	0.0105210420841683	0	6278	5
96	0	1000	0.5	0.1	0	1	-0.9895	0.9895	40000	0	0	7227	5
97	0	1000	0.5	0.1	0	1	-0.911	0.911	39994	0.001	0.181818181818182	8570	11
98	0	1000	0.5	0.1	0	1	-0.9055	0.9055	39310.75	0.0218812877263581	0	7243	7
99	0	1000	0.5	0.1	0	1	-0.608	0.608	39922	0.0065	0	3450	3
100	0	1000	0.5	0.1	0	1	-0.8835	0.8835	39922	0.0045	0	7294	7
